[GET] http://localhost:8000/api/models => [200] OK
[POST] http://localhost:8000/api/jobs => [200] OK
[POST] http://localhost:8000/api/jobs/eea01227120d4596bd017885e31fabc7/start => [200] OK
[GET] http://localhost:8000/api/jobs/eea01227120d4596bd017885e31fabc7/terminal.sse?offset=0 => [200] OK
[GET] http://localhost:8000/api/jobs/eea01227120d4596bd017885e31fabc7/agent_status.sse?offset=0 => [200] OK
[GET] http://localhost:8000/api/jobs/eea01227120d4596bd017885e31fabc7 => [200] OK
[GET] http://localhost:8000/api/jobs/eea01227120d4596bd017885e31fabc7 => [200] OK
[GET] http://localhost:8000/api/jobs/eea01227120d4596bd017885e31fabc7 => [200] OK
[GET] http://localhost:8000/api/jobs/eea01227120d4596bd017885e31fabc7 => [200] OK
[GET] http://localhost:8000/api/jobs/eea01227120d4596bd017885e31fabc7 => [200] OK
[GET] http://localhost:8000/api/jobs/eea01227120d4596bd017885e31fabc7 => [200] OK
[GET] http://localhost:8000/api/jobs/eea01227120d4596bd017885e31fabc7 => [200] OK
[GET] http://localhost:8000/api/jobs/eea01227120d4596bd017885e31fabc7 => [200] OK
[GET] http://localhost:8000/api/jobs/eea01227120d4596bd017885e31fabc7 => [200] OK
[GET] http://localhost:8000/api/jobs/eea01227120d4596bd017885e31fabc7 => [200] OK
[GET] http://localhost:8000/api/jobs/eea01227120d4596bd017885e31fabc7 => [200] OK
[GET] http://localhost:8000/api/jobs/eea01227120d4596bd017885e31fabc7 => [200] OK
[GET] http://localhost:8000/api/jobs/eea01227120d4596bd017885e31fabc7 => [200] OK
[GET] http://localhost:8000/api/jobs/eea01227120d4596bd017885e31fabc7 => [200] OK
[GET] http://localhost:8000/api/jobs/eea01227120d4596bd017885e31fabc7 => [200] OK
[GET] http://localhost:8000/api/jobs/eea01227120d4596bd017885e31fabc7 => [200] OK
[GET] http://localhost:8000/api/jobs/eea01227120d4596bd017885e31fabc7 => [200] OK
[GET] http://localhost:8000/api/jobs/eea01227120d4596bd017885e31fabc7 => [200] OK
[GET] http://localhost:8000/api/jobs/eea01227120d4596bd017885e31fabc7 => [200] OK
[GET] http://localhost:8000/api/jobs/eea01227120d4596bd017885e31fabc7 => [200] OK
[GET] http://localhost:8000/api/jobs/eea01227120d4596bd017885e31fabc7 => [200] OK
